p,accuracy
1,0.9571428571428571
2,0.9714285714285715
3,0.956043956043956
4,0.956043956043956
5,0.9714285714285715
6,0.9714285714285715
7,0.9857142857142858
8,0.9857142857142858
9,0.9857142857142858
10,0.9857142857142858
11,0.9857142857142858
12,0.9857142857142858
13,0.9857142857142858
14,0.9857142857142858
15,0.9857142857142858
16,0.9857142857142858
17,0.9857142857142858
18,0.9857142857142858
19,0.9857142857142858
20,0.9857142857142858
21,0.9857142857142858
22,0.9857142857142858
23,0.9857142857142858
24,0.9714285714285715
25,0.9857142857142858
26,0.9714285714285715
27,0.9857142857142858
28,0.9857142857142858
29,0.9857142857142858
30,0.9714285714285715
31,0.9714285714285715
32,0.9714285714285715
33,0.9714285714285715
34,0.9571428571428571
35,0.9428571428571428
36,0.9571428571428571
37,0.9571428571428571
38,0.9571428571428571
39,0.9571428571428571
40,0.9571428571428571
41,0.9428571428571428
42,0.9571428571428571
43,0.9571428571428571
44,0.9428571428571428
45,0.9428571428571428
46,0.9285714285714285
47,0.9285714285714285
48,0.9285714285714285
49,0.9285714285714285
50,0.9285714285714285
51,0.9285714285714285
52,0.9285714285714285
53,0.9285714285714285
54,0.9285714285714285
55,0.9285714285714285
56,0.9285714285714285
57,0.9285714285714285
58,0.9285714285714285
59,0.9285714285714285
60,0.9285714285714285
61,0.9285714285714285
62,0.9285714285714285
63,0.9285714285714285
64,0.9285714285714285
65,0.9285714285714285
66,0.9285714285714285
67,0.9285714285714285
68,0.9285714285714285
69,0.9285714285714285
70,0.9285714285714285
71,0.9285714285714285
72,0.9285714285714285
73,0.9285714285714285
74,0.9285714285714285
75,0.9285714285714285
76,0.9285714285714285
77,0.9285714285714285
78,0.9285714285714285
79,0.9285714285714285
80,0.9131868131868132
81,0.9131868131868132
82,0.9131868131868132
83,0.9131868131868132
84,0.8989010989010989
85,0.8989010989010989
86,0.8989010989010989
87,0.8989010989010989
88,0.8989010989010989
89,0.8989010989010989
90,0.8989010989010989
