p,accuracy
1,0.9714285714285715
2,0.9714285714285715
3,0.9714285714285715
4,0.9714285714285715
5,0.9714285714285715
6,0.9714285714285715
7,0.9857142857142858
8,0.9857142857142858
9,0.9857142857142858
10,0.9857142857142858
11,0.9857142857142858
12,0.9857142857142858
13,0.9857142857142858
14,0.9857142857142858
15,0.9857142857142858
16,0.9857142857142858
17,0.9857142857142858
18,0.9857142857142858
19,0.9857142857142858
20,0.9857142857142858
21,0.9857142857142858
22,0.9857142857142858
23,0.9857142857142858
24,0.9857142857142858
25,0.9857142857142858
26,0.9857142857142858
27,0.9857142857142858
28,0.9857142857142858
29,0.9857142857142858
30,0.9857142857142858
31,0.9857142857142858
32,0.9857142857142858
33,0.9857142857142858
34,0.9857142857142858
35,0.9857142857142858
36,0.9857142857142858
37,0.9857142857142858
38,0.9857142857142858
39,0.9857142857142858
40,0.9857142857142858
41,0.9857142857142858
42,0.9857142857142858
43,0.9857142857142858
44,0.9857142857142858
45,0.9857142857142858
46,0.9857142857142858
47,0.9857142857142858
48,0.9857142857142858
49,0.9857142857142858
50,0.9857142857142858
51,0.9857142857142858
52,0.9857142857142858
53,0.9857142857142858
54,0.9857142857142858
55,0.9857142857142858
56,0.9857142857142858
57,0.9857142857142858
58,0.9857142857142858
59,0.9857142857142858
60,0.9857142857142858
61,0.9857142857142858
62,0.9857142857142858
63,0.9857142857142858
64,0.9857142857142858
65,0.9857142857142858
66,0.9857142857142858
67,0.9857142857142858
68,0.9857142857142858
69,0.9857142857142858
70,0.9857142857142858
71,0.9857142857142858
72,0.9857142857142858
73,0.9857142857142858
74,0.9857142857142858
75,0.9857142857142858
76,0.9857142857142858
77,0.9857142857142858
78,0.9857142857142858
79,0.9857142857142858
80,0.9857142857142858
81,0.9714285714285715
82,0.9714285714285715
83,0.9714285714285715
84,0.9714285714285715
85,0.9714285714285715
86,0.9714285714285715
87,0.9714285714285715
88,0.9714285714285715
89,0.9714285714285715
90,0.9714285714285715
91,0.9714285714285715
92,0.9714285714285715
93,0.9714285714285715
94,0.9714285714285715
95,0.9714285714285715
96,0.9571428571428571
97,0.9714285714285715
98,0.9714285714285715
99,0.9571428571428571
100,0.9571428571428571
101,0.9571428571428571
102,0.9571428571428571
103,0.9571428571428571
104,0.9571428571428571
105,0.9571428571428571
106,0.9571428571428571
107,0.9571428571428571
108,0.9571428571428571
109,0.9571428571428571
110,0.9571428571428571
111,0.9571428571428571
112,0.9571428571428571
113,0.9571428571428571
114,0.9571428571428571
115,0.9571428571428571
116,0.9571428571428571
117,0.9571428571428571
118,0.9571428571428571
119,0.9571428571428571
120,0.9571428571428571
121,0.9571428571428571
122,0.9571428571428571
123,0.9571428571428571
124,0.9571428571428571
125,0.9571428571428571
126,0.9571428571428571
127,0.9571428571428571
128,0.9571428571428571
129,0.9571428571428571
130,0.9571428571428571
131,0.9571428571428571
132,0.9571428571428571
133,0.9571428571428571
134,0.9571428571428571
135,0.9571428571428571
136,0.9571428571428571
137,0.9571428571428571
138,0.9571428571428571
139,0.9571428571428571
140,0.9571428571428571
141,0.9571428571428571
142,0.9571428571428571
143,0.9571428571428571
144,0.9571428571428571
145,0.9571428571428571
146,0.9571428571428571
147,0.9571428571428571
148,0.9571428571428571
149,0.9571428571428571
150,0.9571428571428571
151,0.9571428571428571
152,0.9571428571428571
153,0.9571428571428571
154,0.9571428571428571
155,0.9571428571428571
156,0.9571428571428571
157,0.9571428571428571
158,0.9571428571428571
159,0.9571428571428571
160,0.9571428571428571
161,0.9571428571428571
162,0.9571428571428571
163,0.9571428571428571
164,0.9571428571428571
165,0.9571428571428571
166,0.9571428571428571
167,0.9571428571428571
168,0.9571428571428571
169,0.9571428571428571
170,0.9571428571428571
171,0.9571428571428571
172,0.9571428571428571
173,0.9571428571428571
174,0.9571428571428571
175,0.9571428571428571
176,0.9571428571428571
177,0.9571428571428571
178,0.9571428571428571
179,0.9571428571428571
180,0.9571428571428571
181,0.9571428571428571
182,0.9571428571428571
183,0.9571428571428571
184,0.9571428571428571
185,0.9571428571428571
186,0.9571428571428571
187,0.9571428571428571
188,0.9571428571428571
189,0.9571428571428571
190,0.9571428571428571
191,0.9571428571428571
192,0.9571428571428571
193,0.9571428571428571
194,0.9571428571428571
195,0.9571428571428571
196,0.9571428571428571
197,0.9571428571428571
198,0.9571428571428571
199,0.9571428571428571
200,0.9571428571428571
201,0.9571428571428571
202,0.9571428571428571
203,0.9571428571428571
204,0.9571428571428571
205,0.9571428571428571
206,0.9571428571428571
207,0.9571428571428571
208,0.9571428571428571
209,0.9571428571428571
210,0.9571428571428571
211,0.9571428571428571
212,0.9571428571428571
213,0.9571428571428571
214,0.9571428571428571
215,0.9571428571428571
216,0.9571428571428571
217,0.9571428571428571
218,0.9571428571428571
219,0.9571428571428571
220,0.9571428571428571
221,0.9571428571428571
222,0.9571428571428571
223,0.9571428571428571
224,0.9571428571428571
225,0.9571428571428571
226,0.9571428571428571
227,0.9571428571428571
228,0.9571428571428571
229,0.9571428571428571
230,0.9571428571428571
231,0.9571428571428571
232,0.9571428571428571
233,0.9571428571428571
234,0.9571428571428571
235,0.9571428571428571
236,0.9571428571428571
237,0.9571428571428571
238,0.9571428571428571
239,0.9571428571428571
240,0.9571428571428571
241,0.9571428571428571
242,0.9571428571428571
243,0.9571428571428571
244,0.9571428571428571
245,0.9571428571428571
246,0.9571428571428571
247,0.9571428571428571
248,0.9571428571428571
249,0.9571428571428571
250,0.9571428571428571
251,0.9571428571428571
252,0.9571428571428571
253,0.9571428571428571
254,0.9571428571428571
255,0.9571428571428571
256,0.9571428571428571
257,0.9571428571428571
258,0.9571428571428571
259,0.9571428571428571
260,0.9571428571428571
261,0.9571428571428571
262,0.9571428571428571
263,0.9571428571428571
264,0.9571428571428571
265,0.9571428571428571
266,0.9571428571428571
267,0.9571428571428571
268,0.9571428571428571
269,0.9571428571428571
270,0.9571428571428571
271,0.9571428571428571
272,0.9571428571428571
273,0.9428571428571428
274,0.9428571428571428
275,0.9428571428571428
276,0.9428571428571428
277,0.9428571428571428
278,0.9428571428571428
279,0.9285714285714285
280,0.9285714285714285
281,0.9285714285714285
282,0.9285714285714285
283,0.9285714285714285
284,0.9285714285714285
285,0.9285714285714285
286,0.9285714285714285
287,0.9285714285714285
288,0.9285714285714285
289,0.9285714285714285
290,0.9285714285714285
291,0.9285714285714285
292,0.9285714285714285
293,0.9285714285714285
294,0.9285714285714285
295,0.9285714285714285
296,0.9142857142857143
297,0.9142857142857143
298,0.9142857142857143
299,0.9285714285714285
300,0.9285714285714285
301,0.9285714285714285
302,0.9285714285714285
303,0.9285714285714285
304,0.9285714285714285
305,0.9285714285714285
306,0.9142857142857143
307,0.9142857142857143
308,0.9142857142857143
309,0.9142857142857143
310,0.9142857142857143
311,0.9142857142857143
312,0.9142857142857143
313,0.9142857142857143
314,0.9142857142857143
315,0.9
316,0.9
317,0.9
318,0.9142857142857143
319,0.9
320,0.9
321,0.9
322,0.9
323,0.9
324,0.9
