p,accuracy
1,0.9571428571428571
2,0.9571428571428571
3,0.9417582417582417
4,0.956043956043956
5,0.956043956043956
6,0.956043956043956
7,0.956043956043956
8,0.956043956043956
9,0.956043956043956
10,0.9714285714285715
11,0.9714285714285715
12,0.9714285714285715
13,0.9857142857142858
14,0.9857142857142858
15,0.9857142857142858
16,0.9857142857142858
17,0.9857142857142858
18,0.9857142857142858
19,0.9857142857142858
20,0.9714285714285715
21,0.9857142857142858
22,0.9714285714285715
23,0.9714285714285715
24,0.9714285714285715
25,0.9714285714285715
26,0.9714285714285715
27,0.9714285714285715
28,0.9714285714285715
29,0.9571428571428571
30,0.9571428571428571
31,0.9571428571428571
32,0.9571428571428571
33,0.9571428571428571
34,0.9571428571428571
35,0.9571428571428571
36,0.9428571428571428
37,0.9428571428571428
38,0.9142857142857143
39,0.9142857142857143
40,0.9142857142857143
41,0.9142857142857143
42,0.9142857142857143
43,0.9142857142857143
44,0.9142857142857143
45,0.9142857142857143
46,0.9142857142857143
47,0.9142857142857143
48,0.9142857142857143
49,0.9142857142857143
50,0.9142857142857143
51,0.9142857142857143
52,0.9142857142857143
53,0.8989010989010989
54,0.8989010989010989
55,0.8989010989010989
56,0.8989010989010989
57,0.8989010989010989
58,0.8989010989010989
59,0.8989010989010989
60,0.8989010989010989
61,0.8989010989010989
62,0.8989010989010989
63,0.8989010989010989
64,0.8989010989010989
65,0.8989010989010989
66,0.8989010989010989
67,0.8989010989010989
68,0.8989010989010989
69,0.8989010989010989
70,0.8989010989010989
71,0.8989010989010989
72,0.8989010989010989
