p,accuracy
1,0.9274725274725275
2,0.9428571428571428
3,0.9571428571428571
4,0.9571428571428571
5,0.9417582417582417
6,0.9571428571428571
7,0.9274725274725275
8,0.9417582417582417
9,0.9417582417582417
10,0.9417582417582417
11,0.9274725274725275
12,0.9274725274725275
13,0.9274725274725275
14,0.9560439560439562
15,0.9560439560439562
16,0.9274725274725275
17,0.9274725274725275
18,0.9131868131868133
19,0.9274725274725275
20,0.9131868131868133
21,0.9131868131868133
22,0.9131868131868133
23,0.9131868131868133
24,0.9131868131868133
25,0.9131868131868133
26,0.8989010989010989
27,0.9131868131868133
28,0.9131868131868132
29,0.9131868131868132
30,0.9131868131868132
31,0.9131868131868132
32,0.9131868131868132
33,0.8989010989010989
34,0.8989010989010989
35,0.8989010989010989
36,0.8989010989010989
